Collect Screw
Collect Loose Wheel
Fit Loose Wheel
Collect Screw
Collect Loose Wheel
Fit Loose Wheel
Collect Screw
Collect Loose Cabin
Fit Cabin
Collect Screw 
Collect Loose Blade
Fit Loose Blade
